基金全称,易方达信息产业混合型证券投资基金,基金简称,易方达信息产业混合A
基金代码,001513（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2016年09月01日,成立日期/规模,2016年09月27日 / 4.063亿份
资产规模,27.71亿元（截止至：2025年06月30日）份额规模9.6653亿份（截止至：2025年06月30日）,份额规模,9.6653亿份（截止至：2025年06月30日）
基金管理人,易方达基金,基金托管人,建设银行
基金经理人,郑希,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证TMT产业主题指数收益率*70%+一年期人民币定期存款利率(税后)*30%,跟踪标的,该基金无跟踪标的
