基金全称,中邮未来成长混合型证券投资基金,基金简称,中邮未来成长混合C
基金代码,010448（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年03月01日,成立日期/规模,2021年04月08日 / 2.619亿份
资产规模,0.68亿元（截止至：2025年06月30日）份额规模0.5403亿份（截止至：2025年06月30日）,份额规模,0.5403亿份（截止至：2025年06月30日）
基金管理人,中邮基金,基金托管人,浙商银行
基金经理人,金振振,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.25%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率*60%+中债综合全价指数收益率*35%+恒生综合指数收益率(经汇率估值调整)*5%,跟踪标的,该基金无跟踪标的
