基金全称,交银施罗德智选星光混合型基金中基金(FOF-LOF),基金简称,交银智选星光混合(FOF-LOF)C
基金代码,013787（前端）基金类型FOF-进取型,基金类型,FOF-进取型
发行日期,2021年10月25日,成立日期/规模,2021年11月10日 / 34.678亿份
资产规模,2.41亿元（截止至：2025年06月30日）份额规模3.009亿份（截止至：2025年06月30日）,份额规模,3.009亿份（截止至：2025年06月30日）
基金管理人,交银施罗德基金,基金托管人,光大银行
基金经理人,刘兵,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证偏股型基金指数收益率*90%+中债综合全价指数收益率*10%,跟踪标的,该基金无跟踪标的
