基金全称,汇添富达欣灵活配置混合型证券投资基金,基金简称,汇添富达欣混合A
基金代码,001801（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2015年11月25日,成立日期/规模,2015年12月02日 / 8.736亿份
资产规模,9.53亿元（截止至：2025年06月30日）份额规模4.0521亿份（截止至：2025年06月30日）,份额规模,4.0521亿份（截止至：2025年06月30日）
基金管理人,汇添富基金,基金托管人,民生银行
基金经理人,张韡,成立来分红,每份累计0.06元（1次）
管理费率,0.60%（每年）,托管费率,0.10%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*50%+中债综合指数收益率*50%,跟踪标的,该基金无跟踪标的
