基金全称,兴全合宜灵活配置混合型证券投资基金(LOF),基金简称,兴全合宜混合(LOF)C
基金代码,005491（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2018年01月16日,成立日期/规模,2020年01月31日 / --
资产规模,18.69亿元（截止至：2025年06月30日）份额规模11.8886亿份（截止至：2025年06月30日）,份额规模,11.8886亿份（截止至：2025年06月30日）
基金管理人,兴证全球基金,基金托管人,招商银行
基金经理人,谢治宇、薛怡然,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率×60%+恒生指数收益率×20%+中国债券总指数收益率×20%,跟踪标的,该基金无跟踪标的
