基金全称,平安新兴产业混合型证券投资基金(LOF),基金简称,平安新兴产业混合(LOF)
基金代码,501099（主代码）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年03月05日,成立日期/规模,2020年04月10日 / 2.046亿份
资产规模,0.97亿元（截止至：2025年06月30日）份额规模0.6409亿份（截止至：2025年06月30日）,份额规模,0.6409亿份（截止至：2025年06月30日）
基金管理人,平安基金,基金托管人,平安银行
基金经理人,翟森,成立来分红,每份累计0.00元（0次）
管理费率,0.60%（每年）,托管费率,0.10%（每年）
销售服务费率,---（每年）,最高认购费率,0.60%（前端）
业绩比较基准,中国战略新兴产业成份指数收益率×65%+恒生指数收益率(经汇率估值调整)×15%+中债总指数收益率×20%,跟踪标的,该基金无跟踪标的
