基金全称,中银证券科技创新混合型证券投资基金(LOF),基金简称,中银证券科技创新混合(LOF)
基金代码,501095（主代码）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年02月27日,成立日期/规模,2020年03月12日 / 8.847亿份
资产规模,4.25亿元（截止至：2025年09月30日）份额规模5.0621亿份（截止至：2025年09月30日）,份额规模,5.0621亿份（截止至：2025年09月30日）
基金管理人,中银证券,基金托管人,农业银行
基金经理人,林博程,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中国战略新兴产业成份指数收益率*80%+中债综合全价指数收益率*20%,跟踪标的,该基金无跟踪标的
