基金全称,财通资管消费精选灵活配置混合型证券投资基金,基金简称,财通资管消费精选混合A
基金代码,005682（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2018年02月28日,成立日期/规模,2018年04月02日 / 5.698亿份
资产规模,2.41亿元（截止至：2025年06月30日）份额规模1.4846亿份（截止至：2025年06月30日）,份额规模,1.4846亿份（截止至：2025年06月30日）
基金管理人,财通资管,基金托管人,工商银行
基金经理人,于洋,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证内地消费主题指数收益率*75%+中债综合指数(全价)收益率*25%,跟踪标的,该基金无跟踪标的
