基金全称,富国创新趋势股票型证券投资基金,基金简称,富国创新趋势股票A
基金代码,009863（前端）基金类型股票型,基金类型,股票型
发行日期,2020年07月23日,成立日期/规模,2020年07月27日 / 163.089亿份
资产规模,22.97亿元（截止至：2025年06月30日）份额规模44.6952亿份（截止至：2025年06月30日）,份额规模,44.6952亿份（截止至：2025年06月30日）
基金管理人,富国基金,基金托管人,中国银行
基金经理人,曹晋,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证800指数收益率*80%+恒生港股通指数收益率(使用估值汇率折算)*10%+中债综合全价指数收益率*10%,跟踪标的,该基金无跟踪标的
