基金全称,融通中证云计算与大数据主题指数证券投资基金(LOF),基金简称,融通中证云计算与大数据主题指数(LOF)A
基金代码,161628（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2015年06月18日,成立日期/规模,2015年07月01日 / 3.707亿份
资产规模,7.56亿元（截止至：2025年09月30日）份额规模4.2177亿份（截止至：2025年09月30日）,份额规模,4.2177亿份（截止至：2025年09月30日）
基金管理人,融通基金,基金托管人,建设银行
基金经理人,何天翔、林丽娟,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.00%（前端）
业绩比较基准,中证云计算与大数据主题指数收益率*95%+银行人民币活期存款利率(税后)*5%,跟踪标的,中证云计算与大数据主题指数
