基金全称,工银瑞信新焦点灵活配置混合型证券投资基金,基金简称,工银新焦点混合A
基金代码,001715（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2016年08月31日,成立日期/规模,2016年10月10日 / 6.464亿份
资产规模,0.58亿元（截止至：2025年06月30日）份额规模0.2621亿份（截止至：2025年06月30日）,份额规模,0.2621亿份（截止至：2025年06月30日）
基金管理人,工银瑞信基金,基金托管人,招商银行
基金经理人,李劭钊,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,45%×一年期人民币定期存款基准利率(税后)+40%×中证800指数收益率+15%×恒生指数收益率(经汇率调整),跟踪标的,该基金无跟踪标的
