基金全称,万家全球成长一年持有期混合型证券投资基金(QDII),基金简称,万家全球成长一年持有期混合(QDII)A
基金代码,012535（前端）基金类型QDII-混合偏股,基金类型,QDII-混合偏股
发行日期,2021年09月03日,成立日期/规模,2021年09月22日 / 23.404亿份
资产规模,9.16亿元（截止至：2025年09月30日）份额规模9.3837亿份（截止至：2025年09月30日）,份额规模,9.3837亿份（截止至：2025年09月30日）
基金管理人,万家基金,基金托管人,工商银行
基金经理人,黄兴亮,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*50%+恒生指数收益率(经估值汇率调整)*20%+纳斯达克100指数收益率(经估值汇率调整)*10%+中债综合指数收益率*20%,跟踪标的,该基金无跟踪标的
