基金全称,博时成长回报混合型证券投资基金,基金简称,博时成长回报混合C
基金代码,014037（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年11月18日,成立日期/规模,2021年12月03日 / 6.624亿份
资产规模,0.50亿元（截止至：2025年06月30日）份额规模0.6212亿份（截止至：2025年06月30日）,份额规模,0.6212亿份（截止至：2025年06月30日）
基金管理人,博时基金,基金托管人,民生银行
基金经理人,肖瑞瑾,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率*60%+中证港股通综合指数收益率*15%+中债综合财富(总值)指数收益率*25%,跟踪标的,该基金无跟踪标的
