基金全称,广发价值核心混合型证券投资基金,基金简称,广发价值核心混合C
基金代码,010378（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年01月20日,成立日期/规模,2021年01月22日 / 76.192亿份
资产规模,19.93亿元（截止至：2025年06月30日）份额规模24.9969亿份（截止至：2025年06月30日）,份额规模,24.9969亿份（截止至：2025年06月30日）
基金管理人,广发基金,基金托管人,招商银行
基金经理人,吴远怡,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率*40%+人民币计价的恒生指数收益率*40%+中证全债指数收益率*20%,跟踪标的,该基金无跟踪标的
