基金全称,融通新能源灵活配置混合型证券投资基金,基金简称,融通新能源灵活配置混合A
基金代码,001471（前端）、001472（后端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2015年06月18日,成立日期/规模,2015年06月29日 / 39.641亿份
资产规模,5.34亿元（截止至：2025年09月30日）份额规模1.774亿份（截止至：2025年09月30日）,份额规模,1.774亿份（截止至：2025年09月30日）
基金管理人,融通基金,基金托管人,建设银行
基金经理人,任涛,成立来分红,每份累计0.12元（2次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证内地新能源主题指数收益率*50%+中债综合(全价)指数收益率*50%,跟踪标的,该基金无跟踪标的
