基金全称,泰信低碳经济混合型发起式证券投资基金,基金简称,泰信低碳经济混合发起式A
基金代码,013469（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年10月11日,成立日期/规模,2021年11月03日 / 0.621亿份
资产规模,0.12亿元（截止至：2025年09月30日）份额规模0.1209亿份（截止至：2025年09月30日）,份额规模,0.1209亿份（截止至：2025年09月30日）
基金管理人,泰信基金,基金托管人,南京银行
基金经理人,吴秉韬,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证内地低碳经济主题指数收益率*70%+中证全债指数收益率*30%,跟踪标的,该基金无跟踪标的
