基金全称,鹏扬数字经济先锋混合型证券投资基金,基金简称,鹏扬数字经济先锋混合C
基金代码,012457（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年08月23日,成立日期/规模,2021年09月07日 / 10.365亿份
资产规模,1.90亿元（截止至：2025年06月30日）份额规模2.8708亿份（截止至：2025年06月30日）,份额规模,2.8708亿份（截止至：2025年06月30日）
基金管理人,鹏扬基金,基金托管人,招商银行
基金经理人,张勋、章宏帆,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.80%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证数字经济主题指数收益率*60%+恒生指数收益率*20%+中债综合财富(总值)指数收益率*20%,跟踪标的,该基金无跟踪标的
