基金全称,大成睿景灵活配置混合型证券投资基金,基金简称,大成睿景灵活配置混合C
基金代码,001301（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2015年05月11日,成立日期/规模,2015年05月26日 / 42.355亿份
资产规模,7.12亿元（截止至：2025年06月30日）份额规模3.466亿份（截止至：2025年06月30日）,份额规模,3.466亿份（截止至：2025年06月30日）
基金管理人,大成基金,基金托管人,广发证券
基金经理人,韩创,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.80%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证500指数收益率*60%+中债综合指数收益率*40%,跟踪标的,该基金无跟踪标的
