基金全称,金鹰科技创新股票型证券投资基金,基金简称,金鹰科技创新股票A
基金代码,001167（前端）基金类型股票型,基金类型,股票型
发行日期,2015年04月15日,成立日期/规模,2015年04月30日 / 18.869亿份
资产规模,31.90亿元（截止至：2025年06月30日）份额规模19.3763亿份（截止至：2025年06月30日）,份额规模,19.3763亿份（截止至：2025年06月30日）
基金管理人,金鹰基金,基金托管人,工商银行
基金经理人,陈颖,成立来分红,每份累计0.34元（5次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*80%+中证全债指数收益率*20%,跟踪标的,该基金无跟踪标的
