基金全称,海富通先进制造股票型证券投资基金,基金简称,海富通先进制造股票A
基金代码,008085（前端）基金类型股票型,基金类型,股票型
发行日期,2019年11月14日,成立日期/规模,2019年12月17日 / 18.931亿份
资产规模,1.70亿元（截止至：2025年06月30日）份额规模1.4736亿份（截止至：2025年06月30日）,份额规模,1.4736亿份（截止至：2025年06月30日）
基金管理人,海富通基金,基金托管人,中国银行
基金经理人,吕越超、陈林海,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证高端装备制造指数收益率×75%+恒生指数收益率×10%+中证全债指数收益率×15%,跟踪标的,该基金无跟踪标的
