基金全称,易方达上证科创板芯片指数发起式证券投资基金,基金简称,易方达上证科创板芯片指数发起式C
基金代码,020671（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2024年01月29日,成立日期/规模,2024年01月31日 / 0.101亿份
资产规模,5.37亿元（截止至：2025年06月30日）份额规模3.3525亿份（截止至：2025年06月30日）,份额规模,3.3525亿份（截止至：2025年06月30日）
基金管理人,易方达基金,基金托管人,招商银行
基金经理人,李栩,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.30%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,上证科创板芯片指数收益率*95%+活期存款利率(税后)*5%,跟踪标的,上证科创板芯片指数
