基金全称,兴业能源革新股票型证券投资基金,基金简称,兴业能源革新股票C
基金代码,013050（前端）基金类型股票型,基金类型,股票型
发行日期,2021年08月16日,成立日期/规模,2021年08月31日 / 12.410亿份
资产规模,2.21亿元（截止至：2025年06月30日）份额规模3.0253亿份（截止至：2025年06月30日）,份额规模,3.0253亿份（截止至：2025年06月30日）
基金管理人,兴业基金,基金托管人,招商银行
基金经理人,邹慧,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率*80%+中证全债指数收益率*20%,跟踪标的,该基金无跟踪标的
