基金全称,浦银安盛先进制造混合型证券投资基金,基金简称,浦银安盛先进制造混合C
基金代码,007067（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2019年12月23日,成立日期/规模,2020年01月14日 / 35.540亿份
资产规模,1.80亿元（截止至：2025年06月30日）份额规模1.3639亿份（截止至：2025年06月30日）,份额规模,1.3639亿份（截止至：2025年06月30日）
基金管理人,浦银安盛基金,基金托管人,兴业银行
基金经理人,李浩玄、郑敏宏,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.35%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,申银万国制造业指数收益率*70%+中证全债指数收益率*30%,跟踪标的,该基金无跟踪标的
