基金全称,创金合信专精特新股票型发起式证券投资基金,基金简称,创金合信专精特新股票发起A
基金代码,014736（前端）基金类型股票型,基金类型,股票型
发行日期,2022年01月17日,成立日期/规模,2022年01月26日 / 0.127亿份
资产规模,0.70亿元（截止至：2025年06月30日）份额规模0.5734亿份（截止至：2025年06月30日）,份额规模,0.5734亿份（截止至：2025年06月30日）
基金管理人,创金合信基金,基金托管人,招商银行
基金经理人,王先伟,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证1000指数收益率*80%+中证港股通综合指数收益率(经汇率调整后)*10%+中债综合(全价)指数收益率*10%,跟踪标的,该基金无跟踪标的
