基金全称,长盛高端装备制造灵活配置混合型证券投资基金,基金简称,长盛高端装备混合A
基金代码,000534（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2014年02月24日,成立日期/规模,2014年03月25日 / 5.103亿份
资产规模,12.84亿元（截止至：2025年09月30日）份额规模2.662亿份（截止至：2025年09月30日）,份额规模,2.662亿份（截止至：2025年09月30日）
基金管理人,长盛基金,基金托管人,中国银行
基金经理人,王远鸿,成立来分红,每份累计0.49元（1次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,上证高端装备60指数收益率*50%+中证综合债指数收益率*50%,跟踪标的,该基金无跟踪标的
