基金全称,中银证券优势制造股票型证券投资基金,基金简称,中银证券优势制造股票A
基金代码,011269（前端）基金类型股票型,基金类型,股票型
发行日期,2021年05月31日,成立日期/规模,2021年07月08日 / 3.162亿份
资产规模,0.66亿元（截止至：2025年09月30日）份额规模0.4883亿份（截止至：2025年09月30日）,份额规模,0.4883亿份（截止至：2025年09月30日）
基金管理人,中银证券,基金托管人,浙商银行
基金经理人,张丽新,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,申银万国制造业指数收益率*85%+中债综合全价指数收益率*15%,跟踪标的,该基金无跟踪标的
