基金全称,博道中证500指数增强型证券投资基金,基金简称,博道中证500增强C
基金代码,006594（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2018年12月03日,成立日期/规模,2019年01月03日 / 4.306亿份
资产规模,5.54亿元（截止至：2025年06月30日）份额规模3.0368亿份（截止至：2025年06月30日）,份额规模,3.0368亿份（截止至：2025年06月30日）
基金管理人,博道基金,基金托管人,招商银行
基金经理人,杨梦,成立来分红,每份累计0.28元（2次）
管理费率,0.75%（每年）,托管费率,0.10%（每年）
销售服务费率,0.30%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证500指数收益率×95%+同期银行活期存款利率(税后)×5%,跟踪标的,中证500指数
