基金全称,兴证资管金麒麟3个月持有期混合型基金中基金(FOF),基金简称,兴证资管金麒麟3个月(FOF)C
基金代码,970195（前端）基金类型FOF-进取型,基金类型,FOF-进取型
发行日期,2010年07月12日,成立日期/规模,2022年09月05日 / --
资产规模,0.15亿元（截止至：2025年06月30日）份额规模0.1683亿份（截止至：2025年06月30日）,份额规模,0.1683亿份（截止至：2025年06月30日）
基金管理人,兴证资管,基金托管人,农业银行
基金经理人,斯苑蓓,成立来分红,每份累计0.00元（0次）
管理费率,0.80%（每年）,托管费率,0.10%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证偏股型基金指数收益率*70%+中债-综合全价(总值)指数收益率*25%+银行活期存款利率(税后)*5%,跟踪标的,该基金无跟踪标的
