基金全称,大成中证芯片产业指数型发起式证券投资基金,基金简称,大成中证芯片产业指数发起式A
基金代码,020853（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2024年05月09日,成立日期/规模,2024年05月24日 / 0.202亿份
资产规模,0.46亿元（截止至：2025年06月30日）份额规模0.3127亿份（截止至：2025年06月30日）,份额规模,0.3127亿份（截止至：2025年06月30日）
基金管理人,大成基金,基金托管人,农业银行
基金经理人,郑少芳,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证芯片产业指数收益率*95%+银行活期存款利率(税后)*5%,跟踪标的,中证芯片产业指数
