基金全称,景顺长城品质长青混合型证券投资基金,基金简称,景顺长城品质长青混合C
基金代码,015751（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年02月03日,成立日期/规模,2022年05月13日 / --
资产规模,29.29亿元（截止至：2025年06月30日）份额规模23.636亿份（截止至：2025年06月30日）,份额规模,23.636亿份（截止至：2025年06月30日）
基金管理人,景顺长城基金,基金托管人,招商银行
基金经理人,农冰立,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率*60%+中证港股通综合指数收益率(使用估值汇率折算)*20%+中证综合债券指数*20%,跟踪标的,该基金无跟踪标的
