基金全称,汇添富优质精选一年持有期混合型基金中基金(FOF),基金简称,汇添富优质精选一年持有混合(FOF)C
基金代码,013644（前端）基金类型FOF-进取型,基金类型,FOF-进取型
发行日期,2022年03月01日,成立日期/规模,2022年06月02日 / 2.564亿份
资产规模,0.29亿元（截止至：2025年06月30日）份额规模0.3203亿份（截止至：2025年06月30日）,份额规模,0.3203亿份（截止至：2025年06月30日）
基金管理人,汇添富基金,基金托管人,光大银行
基金经理人,李彪、陈思,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,0.00%（前端）
业绩比较基准,中证800指数收益率*60%+恒生指数收益率(经汇率调整)*10%+中债综合指数收益率*30%,跟踪标的,该基金无跟踪标的
