基金全称,华夏新时代灵活配置混合型证券投资基金(QDII),基金简称,华夏新时代混合人民币(QDII)
基金代码,005534（前端）基金类型QDII-混合灵活,基金类型,QDII-混合灵活
发行日期,2018年05月07日,成立日期/规模,2018年05月30日 / 4.714亿份
资产规模,1.29亿元（截止至：2025年06月30日）份额规模0.9515亿份（截止至：2025年06月30日）,份额规模,0.9515亿份（截止至：2025年06月30日）
基金管理人,华夏基金,基金托管人,工商银行
基金经理人,常亚桥,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,富时中国A股自由流通全盘指数收益率*30%+富时中国(不含B股)全盘指数收益率*30%+上证国债指数收益率*40%,跟踪标的,该基金无跟踪标的
