基金全称,诺安低碳经济股票型证券投资基金,基金简称,诺安低碳经济股票C
基金代码,010349（前端）基金类型股票型,基金类型,股票型
发行日期,2015年04月23日,成立日期/规模,2020年10月28日 / --
资产规模,0.93亿元（截止至：2025年06月30日）份额规模0.5098亿份（截止至：2025年06月30日）,份额规模,0.5098亿份（截止至：2025年06月30日）
基金管理人,诺安基金,基金托管人,工商银行
基金经理人,韩冬燕、李晓杰,成立来分红,每份累计0.62元（2次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证内地低碳经济主题指数收益率*80%+中证全债指数收益率*20%,跟踪标的,该基金无跟踪标的
