基金全称,瑞达行业轮动混合型证券投资基金,基金简称,瑞达行业轮动混合C
基金代码,012222（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年04月30日,成立日期/规模,2021年06月09日 / 2.003亿份
资产规模,0.09亿元（截止至：2025年06月30日）份额规模0.0942亿份（截止至：2025年06月30日）,份额规模,0.0942亿份（截止至：2025年06月30日）
基金管理人,瑞达基金,基金托管人,华福证券
基金经理人,袁忠伟、张锡莹,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.20%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证800指数收益率*80%+上证国债指数收益率*20%,跟踪标的,该基金无跟踪标的
