基金全称,西部利得事件驱动股票型证券投资基金,基金简称,西部利得事件驱动股票A
基金代码,671030（前端）基金类型股票型,基金类型,股票型
发行日期,2018年07月19日,成立日期/规模,2018年09月26日 / 2.327亿份
资产规模,4.75亿元（截止至：2025年06月30日）份额规模1.8296亿份（截止至：2025年06月30日）,份额规模,1.8296亿份（截止至：2025年06月30日）
基金管理人,西部利得基金,基金托管人,建设银行
基金经理人,张昌平,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*80%+上证国债指数收益率*20%,跟踪标的,该基金无跟踪标的
