基金全称,招商中证电池主题交易型开放式指数证券投资基金联接基金,基金简称,招商中证电池主题ETF联接C
基金代码,016020（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2022年06月27日,成立日期/规模,2022年07月12日 / 2.068亿份
资产规模,0.89亿元（截止至：2025年06月30日）份额规模1.6325亿份（截止至：2025年06月30日）,份额规模,1.6325亿份（截止至：2025年06月30日）
基金管理人,招商基金,基金托管人,光大证券
基金经理人,许荣漫,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证电池主题指数收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,跟踪标的,中证电池主题指数
