基金全称,广发科技创新混合型证券投资基金,基金简称,广发科技创新混合C
基金代码,013533（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2019年12月20日,成立日期/规模,2021年09月10日 / --
资产规模,18.24亿元（截止至：2025年06月30日）份额规模10.093亿份（截止至：2025年06月30日）,份额规模,10.093亿份（截止至：2025年06月30日）
基金管理人,广发基金,基金托管人,建设银行
基金经理人,吴远怡,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中国战略新兴产业成份指数收益率*70%+中证全债指数收益率*30%,跟踪标的,该基金无跟踪标的
