基金全称,国联安上证大宗商品股票交易型开放式指数证券投资基金联接基金,基金简称,国联安上证商品ETF联接C
基金代码,015577（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2010年11月01日,成立日期/规模,2022年05月13日 / --
资产规模,0.09亿元（截止至：2025年06月30日）份额规模0.083亿份（截止至：2025年06月30日）,份额规模,0.083亿份（截止至：2025年06月30日）
基金管理人,国联安基金,基金托管人,中国银行
基金经理人,黄欣,成立来分红,每份累计0.00元（0次）
管理费率,0.60%（每年）,托管费率,0.10%（每年）
销售服务费率,0.25%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,上证大宗商品股票指数收益率*95%+银行活期存款利率(税后)*5%,跟踪标的,上证商品
