基金全称,民生加银聚优精选混合型证券投资基金,基金简称,民生加银聚优精选混合A
基金代码,013296（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年09月06日,成立日期/规模,2021年10月14日 / 2.367亿份
资产规模,1.34亿元（截止至：2025年06月30日）份额规模2.0199亿份（截止至：2025年06月30日）,份额规模,2.0199亿份（截止至：2025年06月30日）
基金管理人,民生加银基金,基金托管人,建设银行
基金经理人,朱辰喆,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*60%+恒生综合指数收益率*10%+中债综合指数收益率*30%,跟踪标的,该基金无跟踪标的
