基金全称,金鹰核心资源混合型证券投资基金,基金简称,金鹰核心资源混合A
基金代码,210009（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2012年04月18日,成立日期/规模,2012年05月23日 / 4.027亿份
资产规模,10.69亿元（截止至：2025年06月30日）份额规模4.6889亿份（截止至：2025年06月30日）,份额规模,4.6889亿份（截止至：2025年06月30日）
基金管理人,金鹰基金,基金托管人,工商银行
基金经理人,陈颖,成立来分红,每份累计0.10元（2次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*75%+中证全债指数收益率*25%,跟踪标的,该基金无跟踪标的
