基金全称,易方达信息行业精选股票型证券投资基金,基金简称,易方达信息行业精选股票C
基金代码,019024（前端）基金类型股票型,基金类型,股票型
发行日期,2020年08月10日,成立日期/规模,2023年11月15日 / --
资产规模,4.03亿元（截止至：2025年06月30日）份额规模4.1976亿份（截止至：2025年06月30日）,份额规模,4.1976亿份（截止至：2025年06月30日）
基金管理人,易方达基金,基金托管人,建设银行
基金经理人,郑希,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证科技传媒通信150指数收益率*65%+中证港股通综合指数收益率*20%+中债总指数收益率*15%,跟踪标的,该基金无跟踪标的
