基金全称,南方港股通优势企业混合型证券投资基金,基金简称,南方港股通优势企业混合A
基金代码,012588（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年07月05日,成立日期/规模,2021年07月21日 / 42.072亿份
资产规模,23.22亿元（截止至：2025年06月30日）份额规模23.569亿份（截止至：2025年06月30日）,份额规模,23.569亿份（截止至：2025年06月30日）
基金管理人,南方基金,基金托管人,交通银行
基金经理人,骆帅,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,经人民币汇率调整的恒生综合指数收益率*60%+中证800指数收益率*10%+上证国债指数收益率*30%,跟踪标的,该基金无跟踪标的
