基金全称,博时专精特新主题混合型证券投资基金,基金简称,博时专精特新主题混合A
基金代码,014232（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年11月15日,成立日期/规模,2021年12月06日 / 9.014亿份
资产规模,2.36亿元（截止至：2025年06月30日）份额规模2.1896亿份（截止至：2025年06月30日）,份额规模,2.1896亿份（截止至：2025年06月30日）
基金管理人,博时基金,基金托管人,中信银行
基金经理人,郭晓林、刘玉强,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中国战略新兴产业成份指数收益率*70%+中证港股通综合指数收益率(人民币)*10%+中债综合财富(总值)指数收益率*20%,跟踪标的,该基金无跟踪标的
