基金全称,华夏中证沪深港黄金产业股票交易型开放式指数证券投资基金发起式联接基金,基金简称,华夏中证沪深港黄金产业股票ETF发起式联接A
基金代码,021074（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2024年04月11日,成立日期/规模,2024年05月08日 / 0.134亿份
资产规模,0.40亿元（截止至：2025年06月30日）份额规模0.3476亿份（截止至：2025年06月30日）,份额规模,0.3476亿份（截止至：2025年06月30日）
基金管理人,华夏基金,基金托管人,工商银行
基金经理人,华龙,成立来分红,每份累计0.00元（0次）
管理费率,0.15%（每年）,托管费率,0.05%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.00%（前端）
业绩比较基准,中证沪深港黄金产业股票指数收益率*95%+人民币活期存款税后利率*5%,跟踪标的,中证沪深港黄金产业股票指数
