基金全称,财通智慧成长混合型证券投资基金,基金简称,财通智慧成长混合A
基金代码,009062（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年03月18日,成立日期/规模,2020年04月03日 / 15.550亿份
资产规模,1.45亿元（截止至：2025年06月30日）份额规模1.2751亿份（截止至：2025年06月30日）,份额规模,1.2751亿份（截止至：2025年06月30日）
基金管理人,财通基金,基金托管人,工商银行
基金经理人,贾雅楠,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证500指数收益率*70%+中债综合全价指数收益率*25%+恒生指数收益率*5%,跟踪标的,该基金无跟踪标的
