基金全称,汇添富安鑫智选灵活配置混合型证券投资基金,基金简称,汇添富安鑫智选混合C
基金代码,002158（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2015年11月23日,成立日期/规模,2015年11月26日 / 24.062亿份
资产规模,0.02亿元（截止至：2025年06月30日）份额规模0.0287亿份（截止至：2025年06月30日）,份额规模,0.0287亿份（截止至：2025年06月30日）
基金管理人,汇添富基金,基金托管人,工商银行
基金经理人,李超,成立来分红,每份累计0.34元（6次）
管理费率,0.90%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率*50%+中债综合指数收益率*50%,跟踪标的,该基金无跟踪标的
