基金全称,博时核心资产精选混合型证券投资基金,基金简称,博时核心资产精选混合A
基金代码,013417（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年09月02日,成立日期/规模,2021年09月17日 / 10.003亿份
资产规模,5.40亿元（截止至：2025年06月30日）份额规模5.9429亿份（截止至：2025年06月30日）,份额规模,5.9429亿份（截止至：2025年06月30日）
基金管理人,博时基金,基金托管人,工商银行
基金经理人,冀楠,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+中债综合财富(总值)指数收益率*20%,跟踪标的,该基金无跟踪标的
