基金全称,国泰中证动漫游戏交易型开放式指数证券投资基金发起式联接基金,基金简称,国泰中证动漫游戏ETF联接C
基金代码,012729（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2021年06月22日,成立日期/规模,2021年06月24日 / 0.123亿份
资产规模,5.57亿元（截止至：2025年06月30日）份额规模4.1037亿份（截止至：2025年06月30日）,份额规模,4.1037亿份（截止至：2025年06月30日）
基金管理人,国泰基金,基金托管人,浦发银行
基金经理人,朱碧莹,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.30%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证动漫游戏指数收益率*95%+银行活期存款利率(税后)*5%,跟踪标的,中证动漫游戏指数
