基金全称,博道启航混合型证券投资基金,基金简称,博道启航混合A
基金代码,006160（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2018年07月25日,成立日期/规模,2018年08月10日 / 7.247亿份
资产规模,1.84亿元（截止至：2025年06月30日）份额规模0.998亿份（截止至：2025年06月30日）,份额规模,0.998亿份（截止至：2025年06月30日）
基金管理人,博道基金,基金托管人,国泰海通
基金经理人,刘玮明,成立来分红,每份累计0.20元（1次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,沪深300指数收益率×70%+上证国债指数收益率×30%,跟踪标的,该基金无跟踪标的
