基金全称,工银瑞信丰收回报灵活配置混合型证券投资基金,基金简称,工银丰收回报灵活配置混合C
基金代码,002233（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2015年09月24日,成立日期/规模,2015年12月03日 / --
资产规模,0.96亿元（截止至：2025年06月30日）份额规模0.5365亿份（截止至：2025年06月30日）,份额规模,0.5365亿份（截止至：2025年06月30日）
基金管理人,工银瑞信基金,基金托管人,广发银行
基金经理人,郭雪松,成立来分红,每份累计0.00元（0次）
管理费率,0.40%（每年）,托管费率,0.10%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,30%×沪深300指数收益率+70%×中债综合指数收益率,跟踪标的,该基金无跟踪标的
