基金全称,易方达高端制造混合型发起式证券投资基金,基金简称,易方达高端制造混合发起式C
基金代码,019034（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年03月11日,成立日期/规模,2023年11月15日 / --
资产规模,0.90亿元（截止至：2025年06月30日）份额规模0.5521亿份（截止至：2025年06月30日）,份额规模,0.5521亿份（截止至：2025年06月30日）
基金管理人,易方达基金,基金托管人,交通银行
基金经理人,祁禾,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证高端装备制造指数收益率*85%+中债总指数收益率*15%,跟踪标的,该基金无跟踪标的
