基金全称,中欧港股通精选一年持有期混合型证券投资基金,基金简称,中欧港股通精选一年持有混合C
基金代码,013992（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年11月22日,成立日期/规模,2021年12月08日 / 15.598亿份
资产规模,2.63亿元（截止至：2025年06月30日）份额规模3.608亿份（截止至：2025年06月30日）,份额规模,3.608亿份（截止至：2025年06月30日）
基金管理人,中欧基金,基金托管人,平安银行
基金经理人,付倍佳,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.80%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,0.00%（前端）
业绩比较基准,中证港股通指数收益率(经汇率调整后)*80%+沪深300指数收益率*10%+中债综合全价指数收益率*10%,跟踪标的,该基金无跟踪标的
