基金全称,北信瑞丰量化优选灵活配置混合型证券投资基金,基金简称,北信瑞丰量化优选灵活配置
基金代码,007808（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2019年08月19日,成立日期/规模,2019年09月18日 / 2.142亿份
资产规模,0.17亿元（截止至：2025年09月30日）份额规模0.0758亿份（截止至：2025年09月30日）,份额规模,0.0758亿份（截止至：2025年09月30日）
基金管理人,北信瑞丰,基金托管人,北京银行
基金经理人,程敏,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证500指数收益率×60%+中证综合债券指数收益率×40%,跟踪标的,该基金无跟踪标的
