基金全称,银华同力精选混合型证券投资基金,基金简称,银华同力精选混合
基金代码,009394（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年05月28日,成立日期/规模,2020年06月16日 / 81.901亿份
资产规模,13.95亿元（截止至：2025年06月30日）份额规模14.9615亿份（截止至：2025年06月30日）,份额规模,14.9615亿份（截止至：2025年06月30日）
基金管理人,银华基金,基金托管人,建设银行
基金经理人,刘辉、王利刚,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率×80%+中证全债指数收益率×20%,跟踪标的,该基金无跟踪标的
