基金全称,汇安行业龙头混合型证券投资基金,基金简称,汇安行业龙头混合A
基金代码,005634（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2019年05月24日,成立日期/规模,2019年08月28日 / 2.726亿份
资产规模,2.23亿元（截止至：2025年06月30日）份额规模1.2771亿份（截止至：2025年06月30日）,份额规模,1.2771亿份（截止至：2025年06月30日）
基金管理人,汇安基金,基金托管人,招商银行
基金经理人,邹唯、刘田,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.50%（前端）天天基金优惠费率：0.15%（前端）
业绩比较基准,沪深300指数收益率*60%+中证全债指数收益率*40%,跟踪标的,该基金无跟踪标的
