基金全称,华富竞争力优选混合型证券投资基金,基金简称,华富竞争力优选混合C
基金代码,017966（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2005年01月04日,成立日期/规模,2023年03月02日 / --
资产规模,0.00亿元（截止至：2025年06月30日）份额规模0.0047亿份（截止至：2025年06月30日）,份额规模,0.0047亿份（截止至：2025年06月30日）
基金管理人,华富基金,基金托管人,建设银行
基金经理人,陈奇、王羿伟,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,标普中国A股300指数*60%+中证全债指数*35%+同业存款利率*5%,跟踪标的,该基金无跟踪标的
