基金全称,鹏华国证半导体芯片交易型开放式指数证券投资基金联接基金,基金简称,鹏华国证半导体芯片ETF联接A
基金代码,012969（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2021年08月02日,成立日期/规模,2021年08月24日 / 2.334亿份
资产规模,1.35亿元（截止至：2025年06月30日）份额规模1.7389亿份（截止至：2025年06月30日）,份额规模,1.7389亿份（截止至：2025年06月30日）
基金管理人,鹏华基金,基金托管人,申万宏源证券
基金经理人,罗英宇,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.00%（前端）天天基金优惠费率：0.10%（前端）
业绩比较基准,国证半导体芯片指数收益率*95%+活期存款利率(税后)*5%,跟踪标的,国证半导体芯片指数
