基金全称,国泰金鹰增长灵活配置混合型证券投资基金,基金简称,国泰金鹰增长混合
基金代码,020001（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2002年04月16日,成立日期/规模,2002年05月08日 / 22.264亿份
资产规模,11.79亿元（截止至：2025年06月30日）份额规模10.8843亿份（截止至：2025年06月30日）,份额规模,10.8843亿份（截止至：2025年06月30日）
基金管理人,国泰基金,基金托管人,交通银行
基金经理人,徐治彪,成立来分红,每份累计3.92元（17次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.00%（前端）
业绩比较基准,沪深300指数收益率×80%+中证综合债指数收益率×20%,跟踪标的,该基金无跟踪标的
