基金全称,东方红智华三年持有期混合型证券投资基金,基金简称,东方红智华三年持有混合C
基金代码,012840（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年08月09日,成立日期/规模,2021年08月18日 / 40.565亿份
资产规模,0.49亿元（截止至：2025年06月30日）份额规模0.6363亿份（截止至：2025年06月30日）,份额规模,0.6363亿份（截止至：2025年06月30日）
基金管理人,东方红资产管理,基金托管人,建设银行
基金经理人,周云、刘中群,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.35%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率*60%+恒生指数收益率(经汇率估值调整)*20%+中国债券总指数收益率*20%,跟踪标的,该基金无跟踪标的
