基金全称,博时回报灵活配置混合型证券投资基金,基金简称,博时回报混合
基金代码,050022（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2011年10月10日,成立日期/规模,2011年11月08日 / 6.063亿份
资产规模,3.53亿元（截止至：2025年06月30日）份额规模1.9132亿份（截止至：2025年06月30日）,份额规模,1.9132亿份（截止至：2025年06月30日）
基金管理人,博时基金,基金托管人,建设银行
基金经理人,肖瑞瑾,成立来分红,每份累计0.87元（4次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*50%+中证港股通综合指数(人民币)收益率*10%+中债综合财富(总值)指数收益率*40%,跟踪标的,该基金无跟踪标的
