基金全称,工银瑞信新能源汽车主题混合型证券投资基金,基金简称,工银新能源汽车混合A
基金代码,005939（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2018年08月22日,成立日期/规模,2018年11月14日 / 2.875亿份
资产规模,16.29亿元（截止至：2025年06月30日）份额规模6.27亿份（截止至：2025年06月30日）,份额规模,6.27亿份（截止至：2025年06月30日）
基金管理人,工银瑞信基金,基金托管人,交通银行
基金经理人,张姝丽、邢梦醒、高京霞,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,80%×中证新能源汽车指数收益率+20%×中债综合财富(总值)指数收益率,跟踪标的,该基金无跟踪标的
