基金全称,华宝上证科创板芯片指数型发起式证券投资基金,基金简称,华宝上证科创板芯片指数发起A
基金代码,021224（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2024年08月12日,成立日期/规模,2024年08月27日 / 0.918亿份
资产规模,0.60亿元（截止至：2025年06月30日）份额规模0.3583亿份（截止至：2025年06月30日）,份额规模,0.3583亿份（截止至：2025年06月30日）
基金管理人,华宝基金,基金托管人,招商银行
基金经理人,陈建华,成立来分红,每份累计0.00元（0次）
管理费率,0.30%（每年）,托管费率,0.08%（每年）
销售服务费率,0.00%（每年）,最高认购费率,0.40%（前端）天天基金优惠费率：0.04%（前端）
业绩比较基准,上证科创板芯片指数收益率*95%+人民币银行活期存款利率(税后)*5%,跟踪标的,上证科创板芯片指数
