基金全称,鹏华沪深港新兴成长灵活配置混合型证券投资基金,基金简称,鹏华沪深港新兴成长混合A
基金代码,003835（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2016年11月25日,成立日期/规模,2016年12月02日 / 4.304亿份
资产规模,6.91亿元（截止至：2025年06月30日）份额规模4.8424亿份（截止至：2025年06月30日）,份额规模,4.8424亿份（截止至：2025年06月30日）
基金管理人,鹏华基金,基金托管人,建设银行
基金经理人,闫思倩,成立来分红,每份累计0.37元（1次）
管理费率,0.60%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300成长指数收益率*70%+中证综合债指数收益率*30%,跟踪标的,该基金无跟踪标的
