基金全称,嘉实新能源新材料股票型证券投资基金,基金简称,嘉实新能源新材料股票A
基金代码,003984（前端）基金类型股票型,基金类型,股票型
发行日期,2017年01月19日,成立日期/规模,2017年03月16日 / 13.140亿份
资产规模,20.59亿元（截止至：2025年06月30日）份额规模11.4775亿份（截止至：2025年06月30日）,份额规模,11.4775亿份（截止至：2025年06月30日）
基金管理人,嘉实基金,基金托管人,中国银行
基金经理人,姚志鹏、熊昱洲,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证全指一级行业能源指数收益率×40%+中证全指一级行业材料指数收益率×40%+中债综合指数收益率×20%,跟踪标的,该基金无跟踪标的
